country,Total_Specimens,Authenticated,Success_Rate,Success_Pct,CI_Lower,CI_Upper,95_CI
United Kingdom,98,89,0.9081632653061225,90.8,85.09847050312953,96.53418255809495,85.1-96.5
Malaysia,4592,4074,0.8871951219512195,88.7,87.80449628728672,89.63452810295718,87.8-89.6
Panama,2242,1952,0.8706512042818911,87.1,85.67599466939957,88.45424618697865,85.7-88.5
Ecuador,3415,2903,0.8500732064421669,85.0,83.80995027202101,86.20469101641235,83.8-86.2
Thailand,837,658,0.7861409796893668,78.6,75.83625720559105,81.39193873228231,75.8-81.4
EquatorialGuinea,304,233,0.7664473684210527,76.6,71.88861654424056,81.40085713996996,71.9-81.4
French Guiana,2659,1997,0.7510342233922527,75.1,73.45982059862682,76.74702407982372,73.5-76.7
SouthAfrica,148,110,0.7432432432432432,74.3,67.28628580915559,81.36236283949304,67.3-81.4
China,915,630,0.6885245901639344,68.9,65.8517966258486,71.85312140693827,65.9-71.9
Mexico,2105,1419,0.6741092636579572,67.4,65.40861700966211,69.41323572192934,65.4-69.4
India,287,181,0.6306620209059234,63.1,57.48245876542632,68.64994541575835,57.5-68.6
Mozambique,208,129,0.6201923076923077,62.0,55.42340052568934,68.6150610127722,55.4-68.6
Honduras,547,287,0.5246800731261426,52.5,48.28293752697462,56.6530770982539,48.3-56.7
Palestine,176,53,0.30113636363636365,30.1,23.33601098723332,36.89126174003941,23.3-36.9
