family,Total_Specimens,Authenticated,Success_Rate,Success_Pct,CI_Lower,CI_Upper,95_CI
Cicindelidae,15,15,1.0,100.0,100.0,100.0,100.0-100.0
Disteniidae,11,11,1.0,100.0,100.0,100.0,100.0-100.0
Artematopodidae,20,19,0.95,95.0,85.44814154208721,104.5518584579128,85.4-100.0
Ptilodactylidae,165,154,0.9333333333333333,93.3,89.52717493531024,97.13949173135643,89.5-97.1
Chrysomelidae,1903,1770,0.9301103520756699,93.0,91.86549498575593,94.15657542937807,91.9-94.2
Chelonariidae,14,13,0.9285714285714286,92.9,79.36640529391083,106.3478804203749,79.4-100.0
Dytiscidae,42,39,0.9285714285714286,92.9,85.06826189344426,100.64602382084146,85.1-100.0
Mordellidae,421,389,0.9239904988123515,92.4,89.86752198524705,94.93057777722325,89.9-94.9
Elateridae,291,268,0.9209621993127147,92.1,88.99631836958176,95.19612149296118,89.0-95.2
Limnichidae,24,22,0.9166666666666666,91.7,80.60894772702328,102.72438560631005,80.6-100.0
Monotomidae,24,22,0.9166666666666666,91.7,80.60894772702328,102.72438560631005,80.6-100.0
Aderidae,105,95,0.9047619047619048,90.5,84.86139520602025,96.0909857463607,84.9-96.1
Tenebrionidae,459,415,0.9041394335511983,90.4,87.72062661980794,93.10726009043171,87.7-93.1
Cantharidae,164,148,0.9024390243902439,90.2,85.70259244443369,94.7852124336151,85.7-94.8
Cleridae,225,203,0.9022222222222223,90.2,86.34123999818156,94.1032044462629,86.3-94.1
